"","","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)"
"Country","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Ecuador"," 2019","78.4","76.4","80.5","23.2","22.0","24.3"
"Ecuador"," 2015","77.2","74.9","79.5","22.5","21.4","23.6"
"Ecuador"," 2010","75.0","72.3","77.9","21.6","20.4","22.8"
"Ecuador"," 2000","74.5","71.9","77.3","21.9","20.8","23.1"
"Egypt"," 2019","71.8","69.6","74.1","17.8","16.5","19.1"
"Egypt"," 2015","70.5","68.2","72.9","17.0","15.7","18.3"
"Egypt"," 2010","70.2","67.8","72.7","17.7","16.3","19.1"
"Egypt"," 2000","69.8","67.3","72.4","18.5","16.8","20.0"
"El Salvador"," 2019","75.0","70.6","79.1","22.1","20.4","23.6"
"El Salvador"," 2015","73.2","68.1","78.0","21.8","20.4","22.9"
"El Salvador"," 2010","74.5","70.6","78.0","22.1","21.0","23.0"
"El Salvador"," 2000","72.5","68.4","76.5","21.4","20.2","22.6"
"Equatorial Guinea"," 2019","62.2","60.9","63.6","17.6","16.5","18.8"
"Equatorial Guinea"," 2015","61.1","60.3","61.8","17.7","16.8","18.7"
"Equatorial Guinea"," 2010","59.7","59.8","59.1","17.6","17.0","18.3"
"Equatorial Guinea"," 2000","54.3","52.4","56.5","15.5","14.0","17.1"
"Eritrea"," 2019","64.1","61.3","67.1","15.5","14.1","16.8"
"Eritrea"," 2015","62.3","59.4","65.4","15.1","13.6","16.6"
"Eritrea"," 2010","60.7","57.8","64.0","14.5","12.9","16.2"
"Eritrea"," 2000","54.5","51.2","58.5","13.5","11.7","15.6"
"Estonia"," 2019","78.9","74.7","82.6","22.5","19.3","25.0"
"Estonia"," 2015","77.6","73.0","81.7","21.9","18.6","24.3"
"Estonia"," 2010","75.9","70.9","80.4","20.8","17.3","23.2"
"Estonia"," 2000","70.9","65.6","76.2","18.6","15.4","20.9"
"Eswatini"," 2019","57.7","53.4","63.2","15.1","12.4","17.7"
"Eswatini"," 2015","54.0","50.3","58.7","14.6","11.9","17.1"
"Eswatini"," 2010","47.4","44.9","50.8","13.3","10.8","15.7"
"Eswatini"," 2000","47.0","44.8","49.4","13.6","11.2","15.9"
"Ethiopia"," 2019","68.7","66.9","70.5","18.4","17.4","19.4"
"Ethiopia"," 2015","66.8","65.0","68.6","18.1","17.0","19.1"
"Ethiopia"," 2010","62.9","61.3","64.5","17.3","16.3","18.3"
"Ethiopia"," 2000","50.6","49.5","51.7","14.1","13.4","14.9"
"Fiji"," 2019","68.0","65.9","70.3","16.2","14.9","17.5"
"Fiji"," 2015","67.8","65.8","70.1","16.0","14.8","17.2"
"Fiji"," 2010","67.6","65.9","69.5","15.8","14.8","16.8"
"Fiji"," 2000","65.9","63.7","68.4","14.7","13.3","16.3"
"Finland"," 2019","81.6","79.2","84.0","24.2","22.4","25.8"
"Finland"," 2015","81.2","78.5","83.9","23.9","21.9","25.7"
"Finland"," 2010","79.9","76.7","83.0","23.3","21.0","25.3"
"Finland"," 2000","77.6","74.1","80.9","21.6","19.2","23.6"
"France"," 2019","82.5","79.8","85.1","25.3","23.3","27.2"
"France"," 2015","81.9","79.0","84.7","25.0","22.9","26.9"
"France"," 2010","81.2","78.0","84.3","24.7","22.3","26.8"
"France"," 2000","78.9","75.2","82.5","23.0","20.4","25.3"
"Gabon"," 2019","66.5","63.6","69.7","17.2","15.2","19.3"
"Gabon"," 2015","64.9","62.1","68.1","16.9","14.9","19.0"
"Gabon"," 2010","62.2","60.1","64.3","16.4","14.4","18.2"
"Gabon"," 2000","58.1","56.1","60.1","15.2","13.4","17.0"
"Gambia"," 2019","65.5","63.4","67.7","16.9","15.8","18.0"
"Gambia"," 2015","64.1","62.2","66.3","16.7","15.6","17.9"
"Gambia"," 2010","62.4","60.6","64.5","16.5","15.3","17.7"
"Gambia"," 2000","59.2","57.2","61.6","16.2","14.9","17.7"
"Georgia"," 2019","73.3","68.8","77.8","18.8","16.0","21.0"
"Georgia"," 2015","72.6","68.2","76.9","18.4","16.0","20.5"
"Georgia"," 2010","71.9","67.4","76.3","18.2","15.9","20.1"
"Georgia"," 2000","69.4","65.6","73.1","17.0","15.2","18.4"
"Germany"," 2019","81.7","78.7","84.8","24.4","21.9","26.9"
"Germany"," 2015","80.4","78.1","82.7","23.2","21.5","24.8"
"Germany"," 2010","80.2","77.8","82.5","23.2","21.4","24.8"
"Germany"," 2000","78.1","75.0","80.9","21.8","19.5","23.6"
"Ghana"," 2019","66.3","63.7","69.2","17.2","15.7","18.9"
"Ghana"," 2015","64.5","62.0","67.4","16.8","15.1","18.6"
"Ghana"," 2010","62.0","59.7","64.5","16.2","14.6","17.9"
"Ghana"," 2000","59.2","57.7","60.8","16.0","14.8","17.3"
"Greece"," 2019","81.1","78.6","83.6","23.8","22.1","25.5"
"Greece"," 2015","80.4","77.8","82.9","23.5","21.7","25.1"
"Greece"," 2010","80.1","77.5","82.7","23.3","21.7","24.8"
"Greece"," 2000","78.2","75.5","80.9","21.5","19.9","23.1"
"Grenada"," 2019","72.9","70.6","75.3","18.7","17.2","20.3"
"Grenada"," 2015","72.7","70.4","75.1","18.9","17.3","20.4"
"Grenada"," 2010","72.0","69.2","75.5","17.7","15.6","20.5"
"Grenada"," 2000","72.0","68.6","76.0","17.9","15.1","21.0"
"Guatemala"," 2019","72.0","69.0","75.0","20.5","19.4","21.4"
"Guatemala"," 2015","70.9","67.8","74.0","19.9","18.8","20.8"
"Guatemala"," 2010","69.3","65.8","72.8","19.6","18.6","20.5"
"Guatemala"," 2000","66.8","63.3","70.3","19.1","18.1","20.1"
"Guinea"," 2019","61.0","59.5","62.3","16.5","15.6","17.2"
"Guinea"," 2015","58.8","57.3","60.1","15.9","14.8","16.6"
"Guinea"," 2010","58.1","56.6","59.3","15.8","14.7","16.6"
"Guinea"," 2000","54.3","53.1","55.3","15.7","15.0","16.3"
"Guinea-Bissau"," 2019","60.2","57.4","63.0","15.5","13.9","16.7"
"Guinea-Bissau"," 2015","58.2","55.5","60.8","15.0","13.4","16.3"
"Guinea-Bissau"," 2010","55.4","53.0","57.7","14.6","12.9","16.0"
"Guinea-Bissau"," 2000","50.3","47.8","52.8","13.8","12.1","15.4"
"Guyana"," 2019","65.7","62.5","69.4","16.6","15.1","18.1"
"Guyana"," 2015","65.6","62.3","69.2","16.6","15.2","18.0"
"Guyana"," 2010","64.8","61.6","68.2","16.2","14.8","17.6"
"Guyana"," 2000","63.0","59.8","66.5","15.9","14.6","17.3"
"Haiti"," 2019","64.1","63.3","64.8","16.8","16.5","17.0"
"Haiti"," 2015","62.6","62.1","63.1","16.5","16.3","16.7"
"Haiti"," 2010","31.3","28.0","35.4","11.5","10.9","12.0"
"Haiti"," 2000","57.0","57.0","57.2","15.8","15.6","15.9"
"Honduras"," 2019","71.9","70.7","73.2","18.3","17.5","19.1"
"Honduras"," 2015","69.8","67.6","72.1","17.9","17.0","18.6"
"Honduras"," 2010","71.1","70.2","72.1","18.9","18.7","19.1"
"Honduras"," 2000","70.0","69.1","71.0","19.6","19.6","19.6"
"Hungary"," 2019","76.4","73.1","79.6","20.2","17.7","22.3"
"Hungary"," 2015","75.6","72.2","78.7","19.9","17.4","21.9"
"Hungary"," 2010","74.6","70.6","78.4","19.7","17.0","21.8"
"Hungary"," 2000","71.3","67.1","75.6","18.0","15.3","20.1"
"Iceland"," 2019","82.3","80.8","83.9","24.6","23.7","25.5"
"Iceland"," 2015","82.1","80.7","83.6","24.4","23.5","25.3"
"Iceland"," 2010","81.7","80.0","83.3","23.9","22.7","25.0"
"Iceland"," 2000","79.7","77.7","81.6","22.6","21.2","24.0"
"India"," 2019","70.8","69.5","72.2","18.8","18.1","19.5"
"India"," 2015","69.3","68.1","70.6","18.5","17.7","19.3"
"India"," 2010","67.2","65.7","68.9","18.0","16.9","19.0"
"India"," 2000","62.1","61.3","62.9","16.1","15.4","16.8"
"Indonesia"," 2019","71.3","69.4","73.3","17.9","16.7","19.1"
"Indonesia"," 2015","70.6","68.8","72.5","17.7","16.5","18.8"
"Indonesia"," 2010","69.3","67.5","71.0","17.5","16.4","18.4"
"Indonesia"," 2000","67.2","65.8","68.6","17.6","16.8","18.2"
"Iran (Islamic Republic of)"," 2019","77.3","75.7","79.1","21.8","21.2","22.5"
"Iran (Islamic Republic of)"," 2015","76.7","75.0","78.5","21.6","20.9","22.3"
"Iran (Islamic Republic of)"," 2010","75.9","73.9","78.0","21.4","20.6","22.3"
